,name,glass,instructions,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measuremnt_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,image_url
78,Boxcar,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg
79,Bramble,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg
80,Brandy Alexander,Cocktail glass,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1 oz ,1 oz white ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg
81,Brandy Cobbler,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,,,,,,1 tsp superfine ,3 oz ,1 ,2 oz ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5xgu591582580586.jpg
82,Brandy Flip,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,,2 oz ,1 whole ,1 tsp superfine ,1/2 oz ,1/8 tsp grated ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg
83,Brandy Sour,Whiskey sour glass,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/b1bxgq1582484872.jpg
84,Caipirinha,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp,1 ,2 1/2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg
85,Caipirissima,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Lime,Sugar,White rum,Ice,,,,,,,,,,,,2 ,2 tblsp ,2-3 oz ,crushed ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg
86,California Lemonade,Collins glass,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,,,,,,2 oz ,Juice of 1 ,Juice of 1 ,1 tblsp,1/4 tsp,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/q5z4841582484168.jpg
87,Casa Blanca,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Triple sec,Lime juice,Maraschino liqueur,,,,,,,,,,,,2 oz ,1 1/2 tsp ,1 1/2 tsp ,1 1/2 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg
88,Casino,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg
89,Casino Royale,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,,,,,,2 oz ,1/2 oz ,1 tsp ,1 dash ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg
90,Champagne Cocktail,Champagne flute,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,,,,,,,Chilled ,1 piece ,2 dashes ,1 twist of ,1 dash,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg
91,Cherry Rum,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Cherry brandy,Light cream,,,,,,,,,,,,,1 1/4 oz ,1 1/2 tsp ,1 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg
92,Chicago Fizz,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,,,,,,1 oz ,1 oz ,Juice of 1/2 ,1 tsp ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg
93,Chocolate Black Russian,Champagne flute,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,,,,,,1 oz ,1/2 oz ,5 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg
94,City Slicker,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Brandy,Triple sec,Lemon juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg
95,Classic Old-Fashioned,Old-fashioned glass,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,,,,,,,3 dashes ,1 tsp ,1 ,3 oz ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/w8cxqv1582485254.jpg
96,Clove Cocktail,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,Sloe gin,Wine,,,,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz Muscatel ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg
97,Clover Club,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",Gin,Grenadine,Lemon,Egg white,,,,,,,,,,,,1 1/2 oz ,2 tsp ,Juice of 1/2 ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg
98,Cuba Libra,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,Dark rum,Lime,Coca-Cola,Ice,,,,,,,,,,,,1-2 shot ,Squeeze ,Fill with ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg
99,Cuba Libre,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Light rum,Lime,Coca-Cola,,,,,,,,,,,,,2 oz ,Juice of 1/2 ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg
100,Daiquiri,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Light rum,Lime,Powdered sugar,,,,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg
101,Dark and Stormy,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,Dark Rum,Ginger Beer,,,,,,,,,,,,,,5 cl,10 cl,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg
102,Derby,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,gin,Peach Bitters,Mint,,,,,,,,,,,,,6 cl,2 dashes,2 Fresh leaves,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg
103,Dragonfly,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",Gin,Ginger ale,Lime,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg
104,Dry Rob Roy,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Scotch,Dry Vermouth,Lemon peel,,,,,,,,,,,,,2 1/2 oz ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg
105,Dubonnet Cocktail,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 dash ,1 twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg
106,English Highball,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg
107,English Rose Cocktail,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,,,,,,3/4 oz ,1 1/2 oz ,3/4 oz ,1 tsp ,1/4 tsp ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg
108,Flander's Flake-Out,Collins Glass,Bang 'em both in.,Sambuca,Sarsaparilla,,,,,,,,,,,,,,1/4 glass ,3/4 glass ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg
109,Flying Dutchman,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",Gin,Triple sec,,,,,,,,,,,,,,2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg
110,Flying Scotchman,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,,,,,,1 oz ,1 oz ,1 dash ,1/4 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg
111,Foxy Lady,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg
112,French 75,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,,1 1/2 oz ,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg
113,French Connection,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Cognac,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg
114,Frisco Sour,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,,,,,,,2 oz ,1/2 oz ,Juice of 1/4 ,Juice of 1/2 ,1 slice ,1 slice ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg
115,Frozen Daiquiri,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,,,,,,,1 1/2 oz ,1 tblsp ,1 1/2 oz ,1 tsp ,1 ,1 cup crushed ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg
116,Frozen Mint Daiquiri,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,Light rum,Lime juice,Mint,Sugar,,,,,,,,,,,,2 oz ,1 tblsp ,6 ,1 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg
117,Frozen Pineapple Daiquiri,Cocktail Glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,Light rum,Pineapple,Lime juice,Sugar,,,,,,,,,,,,1 1/2 oz ,4 chunks ,1 tblsp ,1/2 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg
118,Gentleman's Club,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/k2r7wv1582481454.jpg
119,GG,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,Galliano,Ginger ale,Ice,,,,,,,,,,,,,2 1/2 shots ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg
120,Gideon's Green Dinosaur,Collins glass,Add all ingredients in collins glass with ice and stir.,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Fill with ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/p5r0tr1503564636.jpg
121,Gin And Tonic,Highball glass,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,Gin,Tonic water,Lime,,,,,,,,,,,,,2 oz ,5 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/z0omyp1582480573.jpg
122,Gin Cooler,Collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,Gin,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg
123,Gin Daisy,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1/2 tsp ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg
124,Gin Fizz,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",Gin,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg
125,Gin Sling,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg
126,Gin Smash,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,,2 oz ,1 oz ,1 cube ,4 ,1 slice ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg
127,Gin Sour,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg
128,Gin Squirt,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,,,,,,,1 1/2 oz ,1 tsp ,1 tblsp ,3 chunks,2 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg
129,Gin Swizzle,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",Lime juice,Sugar,Gin,Bitters,Club soda,,,,,,,,,,,1 1/2 oz ,1 tsp superfine ,2 oz ,1 dash ,3 oz ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg
130,Gin Toddy,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",Gin,Water,Powdered sugar,Lemon peel,,,,,,,,,,,,2 oz ,2 tsp ,1/2 tsp ,1 twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg
131,Girl From Ipanema,Wine Glass,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",Cachaca,Lemon Juice,Agave Syrup,Champagne,,,,,,,,,,,,25 ml,15 ml,10 ml,top up with,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg
132,Godchild,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Vodka,Amaretto,Heavy cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg
133,Godfather,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Scotch,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg
134,Godmother,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Vodka,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg
135,Golden dream,Cocktail glass,Shake with cracked ice. Strain into glass and serve.,Galliano,Triple Sec,orange juice,Cream,,,,,,,,,,,,2 parts,2 parts,2 parts,1 part,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg
136,Grand Blue,Old-fashioned glass,Serve in an old fashioned glass.,Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,,,,,,,1 1/2 cl ,1 1/2 cl ,1 1/2 cl ,3 cl ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg
137,Grass Skirt,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1/2 tsp ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg
138,Grasshopper,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,,,,,,,3/4 oz ,3/4 oz white ,3/4 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg
139,Grim Reaper,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,Kahlua,151 proof rum,Grenadine,,,,,,,,,,,,,1 oz ,1 oz Bacardi ,1 dash ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg
140,Grizzly Bear,Collins Glass,"Served over ice. Sounds nasty, but tastes great.",Amaretto,Jägermeister,Kahlua,Milk,,,,,,,,,,,,1 part ,1 part ,1 part ,2 1/2 parts ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg
141,Happy Skipper,Highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Spiced rum,Ginger ale,Lime,Ice,,,,,,,,,,,,1 1/2 cl ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg
142,Harvey Wallbanger,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Vodka,Galliano,Orange juice,,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg
143,Havana Cocktail,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Light rum,Pineapple juice,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg
144,Hawaiian Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,Triple sec,Pineapple juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg
145,Hemingway Special,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,,,,,12 parts,8 parts,3 parts,3 parts,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg
146,Highland Fling Cocktail,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,2 dashes ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg
147,Horse's Neck,Highball glass,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,,,,,,1 long strip ,2 oz ,5 oz ,2 dashes ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg
148,Ice Pick #1,Collins Glass,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Vodka,Iced tea,Lemon juice,,,,,,,,,,,,,1 1/2 oz ,6 oz ," to taste
",,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg
149,Imperial Fizz,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,1/2 oz ,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg
150,Ipamena,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,,,,,,,½,2 tsp,4 cl,top up with,fill,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg
151,Irish Spring,Collins glass,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",Irish whiskey,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,,,,,,,1 oz ,1/2 oz ,1 oz ,1 oz ,1 slice ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg
152,Jack Rose Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Apple brandy,Grenadine,Lime,,,,,,,,,,,,,1 1/2 oz ,1 tsp ,Juice of 1/2 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg
153,Jackhammer,Collins Glass,"Serve over ice- Warning,Deadly!",Jack Daniels,Amaretto,,,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg
154,Japanese Fizz,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Blended whiskey,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,1 tblsp,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg
